product_id,product_name,full_text,product_brand,gender,price_inr,primary_color,color_group
10017413,DKNY Unisex Black & Grey Printed Medium Trolley Bag,"dkny unisex black & grey printed medium trolley bag. black and grey printed medium trolley bag, secured with a tsa lockone handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsone main zip compartment, zip lining, two compression straps with click clasps, one zip compartment on the flap with three zip pocketswarranty: 5 yearswarranty provided by brand owner / manufacturer",DKNY,Unisex,11745.0,Black,Black
10016283,EthnoVogue Women Beige & Grey Made to Measure Custom Made Kurta Set with Jacket,"ethnovogue women beige & grey made to measure custom made kurta set with jacket. beige & grey made to measure kurta with churidar and dupattabeige made to measure calf length kurta, has a v-neck, three-quarter sleeves, lightly padded on bust, flared hem, concealed zip closuregrey solid made to measure churidar, drawstring closuregrey net sequined dupatta, has printed tapingwhat is made to measure?customised kurta set according to your bust and length. so please refer to the size chart to pick your perfect size.how to measure bust?measure under your arms and around your chest to find your bust size in incheshow to measure kurta length?measure from shoulder till barefoot to find kurta length in",EthnoVogue,Women,5810.0,Beige,Beige
10009781,SPYKAR Women Pink Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,"spykar women pink alexa super skinny fit high-rise clean look stretchable cropped jeans. pink coloured wash 5-pocket high-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",SPYKAR,Women,899.0,Pink,Pink
10015921,Raymond Men Blue Self-Design Single-Breasted Bandhgala Suit,"raymond men blue self-design single-breasted bandhgala suit. blue self-design bandhgala suitblue self-design bandhgala blazer, has a mandarin collar, single breasted with full button placket, long sleeves, three pockets, an attached lining and a double-vented back hemblue self-design mid-rise trousers, has a zip fly with a button and a hook-and-bar closure, four pockets, a waistband with belt loops",Raymond,Men,5599.0,Blue,Blue
10017833,Parx Men Brown & Off-White Slim Fit Printed Casual Shirt,"parx men brown & off-white slim fit printed casual shirt. brown and off-white printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, one patch pocket",Parx,Men,759.0,White,White
10014361,SHOWOFF Men Brown Solid Slim Fit Regular Shorts,"showoff men brown solid slim fit regular shorts. brown solid low-rise regular shorts, has four pockets, a button closure",SHOWOFF,Men,791.0,Brown,Brown
10017869,Parx Men Blue Slim Fit Checked Casual Shirt,"parx men blue slim fit checked casual shirt. blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, one patch pocket",Parx,Men,719.0,Blue,Blue
10009695,SPYKAR Women Burgundy Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans,"spykar women burgundy alexa super skinny fit high-rise clean look stretchable ankle jeans. burgundy coloured wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",SPYKAR,Women,899.0,Burgundy,Red
10000571,Parx Men Brown Tapered Fit Solid Regular Trousers,parx men brown tapered fit solid regular trousers. brown solid regular trousers regular trousers,Parx,Men,664.0,Red,Red
10017421,DKNY Unisex Black Large Trolley Bag,"dkny unisex black large trolley bag. black solid large trolley bag, secured with a tsa lockone handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsone main zip compartment, zip lining, two compression straps with click clasps and one zip pocketone exterior zip pocketwarranty: 5 yearswarranty provided by brand owner / manufacturer",DKNY,Unisex,17360.0,Black,Black
10000911,Kenneth Cole Women Navy Blue Solid Backpack,kenneth cole women navy blue solid backpack. navy blue backpacknon-padded haul loop1 main compartment with zip closurepadded backzip pocketpadded shoulder strap: paddedwater-resistance: no,Kenneth Cole,Women,2463.0,Blue,Blue
10000245,Parx Men Green Printed Polo Collar T-shirt,"parx men green printed polo collar t-shirt. green printed t-shirt, has a polo collar, and short sleeves",Parx,Men,629.0,Green,Green
10016727,Vishudh Women Maroon Printed Kurta with Palazzos,"vishudh women maroon printed kurta with palazzos. maroon printed kurta with palazzos maroon straight calf length kurta, has a round neck, three-quarter sleeves, straight hem, side slitsmaroon printed palazzos, has elasticated waistband, slip-on closure",Vishudh,Women,892.0,Maroon,Red
10017749,Parx Men Red Slim Fit Checked Casual Shirt,"parx men red slim fit checked casual shirt. red checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, one patch pocket",Parx,Men,752.0,Red,Red
1000795,Being Human Clothing Navy Printed Casual Slim Shirt,"being human clothing navy printed casual slim shirt. navy blue printed casual shirt, has a spread collar, a full button placket, two pockets, long sleeves, a curved hem",Being Human,Men,1079.0,Navy,Blue
10003803,Homesake Gold-Toned & White Solid Handcrafted Table Lamp with Shade,homesake gold-toned & white solid handcrafted table lamp with shade. type: handcrafted table lamp with shadecolour: gold-toned and whitepattern: solidshape: frustumshade material: fabricbase material: aluminiumbulb holder type: e27switch type: toggle buttoncomes with bulb,Homesake,Unisex,1620.0,White,White
10012765,SEJ by Nisha Gupta Set of 6 Mustard & Blue Printed Table Placemats,sej by nisha gupta set of 6 mustard & blue printed table placemats. set content: 6 table mats shape: rectangle colour: mustard and blue pattern: printed suitable for: 6 seater table material: cotton,SEJ by Nisha Gupta,Unisex,899.0,Blue,Blue
10014413,YAK YAK Men Camel Brown Solid Polo Collar T-shirt,"yak yak men camel brown solid polo collar t-shirt. camel brown solid t-shirt, has polo collar, short sleeves",YAK YAK,Men,599.0,Brown,Brown
10013483,PARFAIT Plus Size Black Striped Non-Wired Lightly Padded T-shirt Bra P5252,parfait plus size black striped non-wired lightly padded t-shirt bra p5252. black striped medium-coverage t-shirt bralightly padded and non-wired seamless cupsregular straps and back closureback style: regularfeature: all day comfort,PARFAIT,Women,1749.0,Red,Red
10004155,HIGHLANDER Men Mustard & Black Slim Fit Checked Casual Shirt,"highlander men mustard & black slim fit checked casual shirt. mustard and black checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, one patch pocket",HIGHLANDER,Men,699.0,Black,Black
10012795,SEJ by Nisha Gupta Set of 6 Multicoloured Printed Table Placemats,sej by nisha gupta set of 6 multicoloured printed table placemats. set content: 6 table matsshape: rectanglecolour: multicolouredpattern: printedsuitable for: 6 seater tablematerial: cotton,SEJ by Nisha Gupta,Unisex,899.0,Red,Red
10009723,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Ankle Jeans,"spykar women blue adora skinny fit mid-rise clean look stretchable ankle jeans. blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",SPYKAR,Women,1199.0,Blue,Blue
10012853,JEWEL JUNCTION Gold-Toned Square Cufflinks,jewel junction gold-toned square cufflinks. a pair of gold-toned square solid cufflinks,JEWEL JUNCTION,Men,539.0,Gold,Yellow
10006001,ID Men Tan Brown Fisherman Leather Sandals,id men tan brown fisherman leather sandals. a pair of tan brown fisherman sandalsleather upper with velcro closurecushioned footbedpatterned synthetic outsolewarranty: 3 monthswarranty provided by brand/manufacturer,ID,Men,2385.0,Brown,Brown
10017377,Story@home Multicoloured Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers,story@home multicoloured geometric 210tc cotton 1 king bedsheet with 2 pillow covers. set content: 1 king bedsheet with 2 pillow coversquality: fine thread count: 210colour: multicolouredpattern: geometric,Story@home,Unisex,1199.0,Red,Red
10015839,Raymond Men Blue Slim Fit Printed Formal Shirt,"raymond men blue slim fit printed formal shirt. blue printed formal shirt, has a spread collar, long sleeves, button placket, straight hem, one patch pocket",Raymond,Men,1079.0,Blue,Blue
